fixture_id,model,arm,round,outcome,tokens_in,tokens_out,tokens_reasoning,cost_usd
v3-currency-round-refactor--embed-prod,haiku,bare,1,pass,496,1924,0,0.010116
v3-currency-round-refactor--short,haiku,bare,1,pass,238,2966,0,0.015068
v3-inventory-hold-release--embed-neutral,haiku,bare,1,pass,788,2291,0,0.012243
v3-inventory-hold-release--embed-prod,haiku,bare,1,pass,837,2930,0,0.015487
v3-inventory-hold-release--short,haiku,bare,1,pass,331,1763,0,0.009146
v3-loyalty-points-fifo-expiry--embed-neutral,haiku,bare,1,pass,666,2108,0,0.011206
v3-loyalty-points-fifo-expiry--embed-prod,haiku,bare,1,pass,687,2368,0,0.012527
v3-loyalty-points-fifo-expiry--short,haiku,bare,1,pass,276,2017,0,0.010361
v3-room-booking-conflict--embed-neutral,haiku,bare,1,pass,588,1839,0,0.009783
v3-room-booking-conflict--embed-prod,haiku,bare,1,pass,614,2431,0,0.012769
v3-room-booking-conflict--short,haiku,bare,1,pass,310,2790,0,0.01426
v3-token-bucket-burst--embed-neutral,haiku,bare,1,pass,636,2788,0,0.014576
v3-token-bucket-burst--embed-prod,haiku,bare,1,pass,676,3071,0,0.016031
v3-token-bucket-burst--short,haiku,bare,1,pass,359,3366,0,0.017189
v3-waitlist-promotion--embed-neutral,haiku,bare,1,pass,841,4025,0,0.020966
v3-waitlist-promotion--embed-prod,haiku,bare,1,pass,869,3956,0,0.020649
v3-waitlist-promotion--short,haiku,bare,1,pass,598,5205,0,0.026623
v3-zone-shipping-cost--embed-neutral,haiku,bare,1,pass,438,1256,0,0.006718
v3-zone-shipping-cost--embed-prod,haiku,bare,1,pass,463,1209,0,0.006508
v3-zone-shipping-cost--short,haiku,bare,1,pass,262,1191,0,0.006217
v3-audit-log-pii-mask--embed-neutral,ollama-devstral,bare,1,pass,255,220,0,0.0
v3-audit-log-pii-mask--embed-prod,ollama-devstral,bare,1,pass,284,216,0,0.0
v3-audit-log-pii-mask--short,ollama-devstral,bare,1,pass,162,205,0,0.0
v3-coupon-stack-refactor--embed-neutral,ollama-devstral,bare,1,pass,349,333,0,0.0
v3-coupon-stack-refactor--embed-prod,ollama-devstral,bare,1,pass,376,378,0,0.0
v3-coupon-stack-refactor--short,ollama-devstral,bare,1,pass,193,466,0,0.0
v3-cron-next-run-dst--embed-neutral,ollama-devstral,bare,1,pass,578,614,0,0.0
v3-cron-next-run-dst--embed-prod,ollama-devstral,bare,1,pass,604,585,0,0.0
v3-cron-next-run-dst--short,ollama-devstral,bare,1,pass,369,636,0,0.0
v3-currency-round-refactor--embed-neutral,ollama-devstral,bare,1,pass,403,915,0,0.0
v3-currency-round-refactor--embed-prod,ollama-devstral,bare,1,pass,435,517,0,0.0
v3-currency-round-refactor--short,ollama-devstral,bare,1,pass,220,433,0,0.0
v3-inventory-hold-release--embed-neutral,ollama-devstral,bare,1,pass,687,756,0,0.0
v3-inventory-hold-release--embed-prod,ollama-devstral,bare,1,pass,735,910,0,0.0
v3-inventory-hold-release--short,ollama-devstral,bare,1,pass,293,711,0,0.0
v3-loyalty-points-fifo-expiry--embed-neutral,ollama-devstral,bare,1,pass,601,640,0,0.0
v3-loyalty-points-fifo-expiry--embed-prod,ollama-devstral,bare,1,pass,621,628,0,0.0
v3-loyalty-points-fifo-expiry--short,ollama-devstral,bare,1,pass,261,751,0,0.0
v3-room-booking-conflict--embed-neutral,ollama-devstral,bare,1,pass,509,1328,0,0.0
v3-room-booking-conflict--embed-prod,ollama-devstral,bare,1,pass,534,1383,0,0.0
v3-room-booking-conflict--short,ollama-devstral,bare,1,pass,272,1216,0,0.0
v3-token-bucket-burst--embed-neutral,ollama-devstral,bare,1,pass,577,803,0,0.0
v3-token-bucket-burst--embed-prod,ollama-devstral,bare,1,pass,616,873,0,0.0
v3-token-bucket-burst--short,ollama-devstral,bare,1,pass,336,1210,0,0.0
v3-waitlist-promotion--embed-neutral,ollama-devstral,bare,1,pass,760,1182,0,0.0
v3-waitlist-promotion--embed-prod,ollama-devstral,bare,1,pass,789,1871,0,0.0
v3-waitlist-promotion--short,ollama-devstral,bare,1,pass,541,1171,0,0.0
v3-zone-shipping-cost--embed-neutral,ollama-devstral,bare,1,pass,401,402,0,0.0
v3-zone-shipping-cost--embed-prod,ollama-devstral,bare,1,pass,428,468,0,0.0
v3-zone-shipping-cost--short,ollama-devstral,bare,1,pass,242,549,0,0.0
v3-audit-log-pii-mask--embed-neutral,opus,bare,1,pass,376,271,0,0.008655
v3-audit-log-pii-mask--embed-prod,opus,bare,1,pass,420,271,0,0.008875
v3-audit-log-pii-mask--short,opus,bare,1,pass,241,330,0,0.009455
v3-coupon-stack-refactor--embed-neutral,opus,bare,1,pass,535,578,0,0.017125
v3-coupon-stack-refactor--embed-prod,opus,bare,1,pass,574,682,0,0.01992
v3-coupon-stack-refactor--short,opus,bare,1,pass,309,496,0,0.013945
v3-cron-next-run-dst--embed-neutral,opus,bare,1,pass,823,1773,0,0.04844
v3-cron-next-run-dst--embed-prod,opus,bare,1,pass,861,1522,0,0.042355
v3-cron-next-run-dst--short,opus,bare,1,pass,511,1075,0,0.02943
v3-currency-round-refactor--embed-neutral,opus,bare,1,pass,630,896,0,0.02555
v3-currency-round-refactor--embed-prod,opus,bare,1,pass,683,1553,0,0.04224
v3-currency-round-refactor--short,opus,bare,1,pass,330,959,0,0.025625
v3-inventory-hold-release--embed-neutral,opus,bare,1,pass,1047,1781,0,0.04976
v3-inventory-hold-release--embed-prod,opus,bare,1,pass,1107,1835,0,0.05141
v3-inventory-hold-release--short,opus,bare,1,pass,448,1460,0,0.03874
v3-loyalty-points-fifo-expiry--embed-neutral,opus,bare,1,pass,885,1435,0,0.0403
v3-loyalty-points-fifo-expiry--embed-prod,opus,bare,1,pass,914,1578,0,0.04402
v3-loyalty-points-fifo-expiry--short,opus,bare,1,pass,393,1148,0,0.030665
v3-room-booking-conflict--embed-neutral,opus,bare,1,pass,782,1744,0,0.04751
v3-room-booking-conflict--embed-prod,opus,bare,1,pass,815,1849,0,0.0503
v3-room-booking-conflict--short,opus,bare,1,pass,429,1288,0,0.034345
v3-token-bucket-burst--embed-neutral,opus,bare,1,pass,879,1561,0,0.04342
v3-token-bucket-burst--embed-prod,opus,bare,1,pass,938,1894,0,0.05204
v3-token-bucket-burst--short,opus,bare,1,pass,502,1213,0,0.032835
v3-waitlist-promotion--embed-neutral,opus,bare,1,pass,1129,2560,0,0.069645
v3-waitlist-promotion--embed-prod,opus,bare,1,pass,1170,2674,0,0.0727
v3-waitlist-promotion--short,opus,bare,1,pass,808,2174,0,0.05839
v3-zone-shipping-cost--embed-neutral,opus,bare,1,pass,619,1032,0,0.028895
v3-zone-shipping-cost--embed-prod,opus,bare,1,pass,649,909,0,0.02597
v3-zone-shipping-cost--short,opus,bare,1,pass,382,780,0,0.02141
v3-audit-log-pii-mask--embed-neutral,opus-5,bare,1,pass,376,985,260,0.026505
v3-audit-log-pii-mask--embed-prod,opus-5,bare,1,pass,420,981,267,0.026625
v3-audit-log-pii-mask--short,opus-5,bare,1,pass,241,801,90,0.02123
v3-coupon-stack-refactor--embed-neutral,opus-5,bare,1,pass,535,1267,43,0.03435
v3-coupon-stack-refactor--embed-prod,opus-5,bare,1,pass,574,2729,330,0.071095
v3-coupon-stack-refactor--short,opus-5,bare,1,pass,309,1765,258,0.04567
v3-cron-next-run-dst--embed-neutral,opus-5,bare,1,pass,823,2159,259,0.05809
v3-cron-next-run-dst--embed-prod,opus-5,bare,1,pass,861,3158,1139,0.083255
v3-cron-next-run-dst--short,opus-5,bare,1,pass,511,2680,608,0.069555
v3-currency-round-refactor--embed-neutral,opus-5,bare,1,pass,630,3135,875,0.081525
v3-currency-round-refactor--embed-prod,opus-5,bare,1,pass,683,4893,1919,0.12574
v3-currency-round-refactor--short,opus-5,bare,1,pass,330,3972,1258,0.10095
v3-inventory-hold-release--embed-neutral,opus-5,bare,1,pass,1047,2469,14,0.06696
v3-inventory-hold-release--embed-prod,opus-5,bare,1,pass,1107,2576,27,0.069935
v3-inventory-hold-release--short,opus-5,bare,1,pass,448,2370,103,0.06149
v3-loyalty-points-fifo-expiry--embed-neutral,opus-5,bare,1,pass,885,2269,60,0.06115
v3-loyalty-points-fifo-expiry--embed-prod,opus-5,bare,1,pass,914,2031,125,0.055345
v3-loyalty-points-fifo-expiry--short,opus-5,bare,1,pass,393,3104,356,0.079565
v3-room-booking-conflict--embed-neutral,opus-5,bare,1,pass,782,2208,76,0.05911
v3-room-booking-conflict--embed-prod,opus-5,bare,1,pass,815,2702,99,0.071625
v3-room-booking-conflict--short,opus-5,bare,1,pass,429,3001,456,0.07717
v3-token-bucket-burst--embed-neutral,opus-5,bare,1,pass,879,2825,191,0.07502
v3-token-bucket-burst--embed-prod,opus-5,bare,1,pass,938,3771,824,0.098965
v3-token-bucket-burst--short,opus-5,bare,1,pass,502,3718,351,0.09546
v3-waitlist-promotion--embed-neutral,opus-5,bare,1,pass,1129,4488,780,0.117845
v3-waitlist-promotion--embed-prod,opus-5,bare,1,pass,1170,4331,1159,0.114125
v3-waitlist-promotion--short,opus-5,bare,1,pass,808,4152,990,0.10784
v3-zone-shipping-cost--embed-neutral,opus-5,bare,1,pass,619,1474,156,0.039945
v3-zone-shipping-cost--embed-prod,opus-5,bare,1,pass,649,1655,304,0.04462
v3-zone-shipping-cost--short,opus-5,bare,1,pass,382,2021,469,0.052435
v3-audit-log-pii-mask--embed-neutral,sonnet,bare,1,pass,376,311,0,0.003862
v3-audit-log-pii-mask--embed-prod,sonnet,bare,1,pass,420,524,0,0.00608
v3-audit-log-pii-mask--short,sonnet,bare,1,pass,241,573,0,0.006212
v3-coupon-stack-refactor--embed-neutral,sonnet,bare,1,pass,535,493,0,0.006
v3-coupon-stack-refactor--embed-prod,sonnet,bare,1,pass,574,460,0,0.005748
v3-coupon-stack-refactor--short,sonnet,bare,1,pass,309,772,0,0.008338
v3-cron-next-run-dst--embed-neutral,sonnet,bare,1,pass,823,1367,0,0.015316
v3-cron-next-run-dst--embed-prod,sonnet,bare,1,pass,861,1825,312,0.019972
v3-cron-next-run-dst--short,sonnet,bare,1,pass,511,2110,401,0.022122
v3-currency-round-refactor--embed-neutral,sonnet,bare,1,pass,630,1261,196,0.01387
v3-currency-round-refactor--embed-prod,sonnet,bare,1,pass,683,1241,110,0.013776
v3-currency-round-refactor--short,sonnet,bare,1,pass,330,2031,530,0.02097
v3-inventory-hold-release--embed-neutral,sonnet,bare,1,pass,1047,1499,0,0.017084
v3-inventory-hold-release--embed-prod,sonnet,bare,1,pass,1107,1629,0,0.018504
v3-inventory-hold-release--short,sonnet,bare,1,pass,448,2558,745,0.026476
v3-loyalty-points-fifo-expiry--embed-neutral,sonnet,bare,1,pass,885,1160,0,0.01337
v3-loyalty-points-fifo-expiry--embed-prod,sonnet,bare,1,pass,914,1419,0,0.016018
v3-loyalty-points-fifo-expiry--short,sonnet,bare,1,pass,393,2832,537,0.029106
v3-room-booking-conflict--embed-neutral,sonnet,bare,1,pass,782,1591,70,0.017474
v3-room-booking-conflict--embed-prod,sonnet,bare,1,pass,815,2021,71,0.02184
v3-room-booking-conflict--short,sonnet,bare,1,pass,429,2992,717,0.030778
v3-token-bucket-burst--embed-neutral,sonnet,bare,1,pass,879,1711,81,0.018868
v3-token-bucket-burst--embed-prod,sonnet,bare,1,pass,938,2159,97,0.023466
v3-token-bucket-burst--short,sonnet,bare,1,pass,502,3392,304,0.034924
v3-waitlist-promotion--embed-neutral,sonnet,bare,1,pass,1129,2596,443,0.028218
v3-waitlist-promotion--embed-prod,sonnet,bare,1,pass,1170,2847,543,0.03081
v3-waitlist-promotion--short,sonnet,bare,1,pass,808,2888,1005,0.030496
v3-zone-shipping-cost--embed-neutral,sonnet,bare,1,pass,619,851,16,0.009748
v3-zone-shipping-cost--embed-prod,sonnet,bare,1,pass,649,929,60,0.010588
v3-zone-shipping-cost--short,sonnet,bare,1,pass,382,796,0,0.008724
v3-audit-log-pii-mask--embed-neutral,fable,thinking,1,refused,376,3,0,0.00391
v3-audit-log-pii-mask--embed-prod,fable,thinking,1,refused,420,3,0,0.00435
v3-audit-log-pii-mask--short,fable,thinking,1,pass,241,524,15,0.02861
v3-coupon-stack-refactor--embed-neutral,fable,thinking,1,refused,535,343,0,0.0225
v3-coupon-stack-refactor--embed-prod,fable,thinking,1,refused,574,1,0,0.00579
v3-coupon-stack-refactor--short,fable,thinking,1,pass,309,899,0,0.04804
v3-cron-next-run-dst--embed-neutral,fable,thinking,1,refused,823,238,122,0.02013
v3-cron-next-run-dst--embed-prod,fable,thinking,1,refused,861,3,0,0.00876
v3-cron-next-run-dst--short,fable,thinking,1,pass,511,1618,246,0.08601
v3-currency-round-refactor--embed-neutral,fable,thinking,1,pass,630,1467,85,0.07965
v3-currency-round-refactor--embed-prod,fable,thinking,1,refused,683,4,0,0.00703
v3-currency-round-refactor--short,fable,thinking,1,pass,330,1383,112,0.07245
v3-inventory-hold-release--embed-neutral,fable,thinking,1,pass,1047,1888,37,0.10487
v3-inventory-hold-release--embed-prod,fable,thinking,1,pass,1107,1983,45,0.11022
v3-inventory-hold-release--short,fable,thinking,1,pass,448,1579,83,0.08343
v3-loyalty-points-fifo-expiry--embed-neutral,fable,thinking,1,pass,885,1374,0,0.07755
v3-loyalty-points-fifo-expiry--embed-prod,fable,thinking,1,pass,914,1858,0,0.10204
v3-loyalty-points-fifo-expiry--short,fable,thinking,1,pass,393,1332,44,0.07053
v3-room-booking-conflict--embed-neutral,fable,thinking,1,refused,782,1,0,0.00787
v3-room-booking-conflict--embed-prod,fable,thinking,1,refused,815,3,0,0.0083
v3-room-booking-conflict--short,fable,thinking,1,pass,429,2035,49,0.10604
v3-token-bucket-burst--embed-neutral,fable,thinking,1,refused,879,3,0,0.00894
v3-token-bucket-burst--embed-prod,fable,thinking,1,refused,938,5,0,0.00963
v3-token-bucket-burst--short,fable,thinking,1,refused,502,3,0,0.00517
v3-waitlist-promotion--embed-neutral,fable,thinking,1,refused,1129,4,0,0.01149
v3-waitlist-promotion--embed-prod,fable,thinking,1,refused,1170,3,0,0.01185
v3-waitlist-promotion--short,fable,thinking,1,refused,808,1864,1647,0.10128
v3-zone-shipping-cost--embed-neutral,fable,thinking,1,refused,619,216,20,0.01699
v3-zone-shipping-cost--embed-prod,fable,thinking,1,refused,649,197,36,0.01634
v3-zone-shipping-cost--short,fable,thinking,1,pass,382,1093,53,0.05847
v3-audit-log-pii-mask--embed-neutral,haiku,thinking,1,pass,307,1356,819,0.007087
v3-audit-log-pii-mask--embed-prod,haiku,thinking,1,pass,339,1984,1258,0.010259
v3-audit-log-pii-mask--short,haiku,thinking,1,pass,204,1036,408,0.005384
v3-coupon-stack-refactor--embed-neutral,haiku,thinking,1,pass,428,1576,722,0.008308
v3-coupon-stack-refactor--embed-prod,haiku,thinking,1,pass,454,1921,1085,0.010059
v3-coupon-stack-refactor--short,haiku,thinking,1,pass,252,1883,804,0.009667
v3-cron-next-run-dst--embed-neutral,haiku,thinking,1,pass,643,4539,2722,0.023338
v3-cron-next-run-dst--embed-prod,haiku,thinking,1,pass,671,2300,998,0.012171
v3-cron-next-run-dst--short,haiku,thinking,1,pass,417,3046,1414,0.015647
v3-currency-round-refactor--embed-neutral,haiku,thinking,1,pass,489,2037,1010,0.010674
v3-currency-round-refactor--embed-prod,haiku,thinking,1,pass,526,2926,1658,0.015156
v3-currency-round-refactor--short,haiku,thinking,1,pass,268,4299,2582,0.021763
v3-inventory-hold-release--embed-neutral,haiku,thinking,1,pass,818,2904,912,0.015338
v3-inventory-hold-release--embed-prod,haiku,thinking,1,pass,867,2342,934,0.012577
v3-inventory-hold-release--short,haiku,thinking,1,pass,361,1536,835,0.008041
v3-loyalty-points-fifo-expiry--embed-neutral,haiku,thinking,1,pass,696,2721,1347,0.014301
v3-loyalty-points-fifo-expiry--embed-prod,haiku,thinking,1,pass,717,2413,870,0.012782
v3-loyalty-points-fifo-expiry--short,haiku,thinking,1,pass,306,2582,1359,0.013216
v3-room-booking-conflict--embed-neutral,haiku,thinking,1,pass,618,3946,1764,0.020348
v3-room-booking-conflict--embed-prod,haiku,thinking,1,pass,644,6263,2851,0.031959
v3-room-booking-conflict--short,haiku,thinking,1,pass,340,5133,2399,0.026005
v3-token-bucket-burst--embed-neutral,haiku,thinking,1,pass,666,2693,1128,0.014131
v3-token-bucket-burst--embed-prod,haiku,thinking,1,pass,706,3288,1065,0.017146
v3-token-bucket-burst--short,haiku,thinking,1,pass,389,4080,1738,0.020789
v3-waitlist-promotion--embed-neutral,haiku,thinking,1,pass,871,5998,3096,0.030861
v3-waitlist-promotion--embed-prod,haiku,thinking,1,pass,899,5730,2938,0.029549
v3-waitlist-promotion--short,haiku,thinking,1,pass,628,5929,3470,0.030273
v3-zone-shipping-cost--embed-neutral,haiku,thinking,1,pass,468,1386,486,0.007398
v3-zone-shipping-cost--embed-prod,haiku,thinking,1,pass,493,2023,1232,0.010608
v3-zone-shipping-cost--short,haiku,thinking,1,pass,292,2879,1905,0.014687
v3-audit-log-pii-mask--embed-neutral,ollama-devstral,thinking,1,pass,255,214,0,0.0
v3-audit-log-pii-mask--embed-prod,ollama-devstral,thinking,1,pass,284,225,0,0.0
v3-audit-log-pii-mask--short,ollama-devstral,thinking,1,pass,162,250,0,0.0
v3-coupon-stack-refactor--embed-neutral,ollama-devstral,thinking,1,pass,349,332,0,0.0
v3-coupon-stack-refactor--embed-prod,ollama-devstral,thinking,1,pass,376,378,0,0.0
v3-coupon-stack-refactor--short,ollama-devstral,thinking,1,pass,193,267,0,0.0
v3-cron-next-run-dst--embed-neutral,ollama-devstral,thinking,1,pass,578,560,0,0.0
v3-cron-next-run-dst--embed-prod,ollama-devstral,thinking,1,pass,604,606,0,0.0
v3-cron-next-run-dst--short,ollama-devstral,thinking,1,pass,369,684,0,0.0
v3-currency-round-refactor--embed-neutral,ollama-devstral,thinking,1,pass,403,960,0,0.0
v3-currency-round-refactor--embed-prod,ollama-devstral,thinking,1,pass,435,766,0,0.0
v3-currency-round-refactor--short,ollama-devstral,thinking,1,pass,220,416,0,0.0
v3-inventory-hold-release--embed-neutral,ollama-devstral,thinking,1,pass,687,807,0,0.0
v3-inventory-hold-release--embed-prod,ollama-devstral,thinking,1,pass,735,862,0,0.0
v3-inventory-hold-release--short,ollama-devstral,thinking,1,pass,293,735,0,0.0
v3-loyalty-points-fifo-expiry--embed-neutral,ollama-devstral,thinking,1,pass,601,627,0,0.0
v3-loyalty-points-fifo-expiry--embed-prod,ollama-devstral,thinking,1,pass,621,633,0,0.0
v3-loyalty-points-fifo-expiry--short,ollama-devstral,thinking,1,pass,261,928,0,0.0
v3-room-booking-conflict--embed-neutral,ollama-devstral,thinking,1,pass,509,1312,0,0.0
v3-room-booking-conflict--embed-prod,ollama-devstral,thinking,1,pass,534,1357,0,0.0
v3-room-booking-conflict--short,ollama-devstral,thinking,1,pass,272,1372,0,0.0
v3-token-bucket-burst--embed-neutral,ollama-devstral,thinking,1,pass,577,780,0,0.0
v3-token-bucket-burst--embed-prod,ollama-devstral,thinking,1,pass,616,857,0,0.0
v3-token-bucket-burst--short,ollama-devstral,thinking,1,pass,336,1029,0,0.0
v3-waitlist-promotion--embed-neutral,ollama-devstral,thinking,1,pass,760,1142,0,0.0
v3-waitlist-promotion--embed-prod,ollama-devstral,thinking,1,pass,789,2184,0,0.0
v3-waitlist-promotion--short,ollama-devstral,thinking,1,pass,541,1565,0,0.0
v3-zone-shipping-cost--embed-neutral,ollama-devstral,thinking,1,pass,401,405,0,0.0
v3-zone-shipping-cost--embed-prod,ollama-devstral,thinking,1,pass,428,404,0,0.0
v3-zone-shipping-cost--short,ollama-devstral,thinking,1,pass,242,647,0,0.0
v3-audit-log-pii-mask--embed-neutral,opus,thinking,1,pass,376,290,19,0.00913
v3-audit-log-pii-mask--embed-prod,opus,thinking,1,pass,420,304,30,0.0097
v3-audit-log-pii-mask--short,opus,thinking,1,pass,241,359,12,0.01018
v3-coupon-stack-refactor--embed-neutral,opus,thinking,1,pass,535,636,0,0.018575
v3-coupon-stack-refactor--embed-prod,opus,thinking,1,pass,574,716,9,0.02077
v3-coupon-stack-refactor--short,opus,thinking,1,pass,309,1622,22,0.042095
v3-cron-next-run-dst--embed-neutral,opus,thinking,1,pass,823,1344,58,0.037715
v3-cron-next-run-dst--embed-prod,opus,thinking,1,pass,861,1414,58,0.039655
v3-cron-next-run-dst--short,opus,thinking,1,pass,511,1384,232,0.037155
v3-currency-round-refactor--embed-neutral,opus,thinking,1,pass,630,1178,62,0.0326
v3-currency-round-refactor--embed-prod,opus,thinking,1,pass,683,1183,98,0.03299
v3-currency-round-refactor--short,opus,thinking,1,pass,330,1272,186,0.03345
v3-inventory-hold-release--embed-neutral,opus,thinking,1,pass,1047,1868,0,0.051935
v3-inventory-hold-release--embed-prod,opus,thinking,1,pass,1107,1928,22,0.053735
v3-inventory-hold-release--short,opus,thinking,1,pass,448,1952,23,0.05104
v3-loyalty-points-fifo-expiry--embed-neutral,opus,thinking,1,pass,885,1416,10,0.039825
v3-loyalty-points-fifo-expiry--embed-prod,opus,thinking,1,pass,914,1430,14,0.04032
v3-loyalty-points-fifo-expiry--short,opus,thinking,1,pass,393,1609,62,0.04219
v3-room-booking-conflict--embed-neutral,opus,thinking,1,pass,782,1573,47,0.043235
v3-room-booking-conflict--embed-prod,opus,thinking,1,pass,815,1978,25,0.053525
v3-room-booking-conflict--short,opus,thinking,1,pass,429,1990,138,0.051895
v3-token-bucket-burst--embed-neutral,opus,thinking,1,pass,879,1968,13,0.053595
v3-token-bucket-burst--embed-prod,opus,thinking,1,pass,938,1822,13,0.05024
v3-token-bucket-burst--short,opus,thinking,1,pass,502,1622,38,0.04306
v3-waitlist-promotion--embed-neutral,opus,thinking,1,pass,1129,2938,774,0.079095
v3-waitlist-promotion--embed-prod,opus,thinking,1,pass,1170,2769,790,0.075075
v3-waitlist-promotion--short,opus,thinking,1,pass,808,3408,1544,0.08924
v3-zone-shipping-cost--embed-neutral,opus,thinking,1,pass,619,993,83,0.02792
v3-zone-shipping-cost--embed-prod,opus,thinking,1,pass,649,1285,163,0.03537
v3-zone-shipping-cost--short,opus,thinking,1,pass,382,1387,55,0.036585
v3-audit-log-pii-mask--embed-neutral,opus-5,thinking,1,pass,376,688,138,0.01908
v3-audit-log-pii-mask--embed-prod,opus-5,thinking,1,pass,420,918,228,0.02505
v3-audit-log-pii-mask--short,opus-5,thinking,1,pass,241,707,121,0.01888
v3-coupon-stack-refactor--embed-neutral,opus-5,thinking,1,pass,535,1531,89,0.04095
v3-coupon-stack-refactor--embed-prod,opus-5,thinking,1,pass,574,2090,297,0.05512
v3-coupon-stack-refactor--short,opus-5,thinking,1,pass,309,1591,312,0.04132
v3-cron-next-run-dst--embed-neutral,opus-5,thinking,1,pass,823,2373,392,0.06344
v3-cron-next-run-dst--embed-prod,opus-5,thinking,1,pass,861,2476,317,0.066205
v3-cron-next-run-dst--short,opus-5,thinking,1,pass,511,2592,644,0.067355
v3-currency-round-refactor--embed-neutral,opus-5,thinking,1,pass,630,2927,892,0.076325
v3-currency-round-refactor--embed-prod,opus-5,thinking,1,pass,683,3748,1165,0.097115
v3-currency-round-refactor--short,opus-5,thinking,1,pass,330,3974,1541,0.101
v3-inventory-hold-release--embed-neutral,opus-5,thinking,1,pass,1047,2717,13,0.07316
v3-inventory-hold-release--embed-prod,opus-5,thinking,1,pass,1107,2680,52,0.072535
v3-inventory-hold-release--short,opus-5,thinking,1,pass,448,2601,105,0.067265
v3-loyalty-points-fifo-expiry--embed-neutral,opus-5,thinking,1,pass,885,1913,57,0.05225
v3-loyalty-points-fifo-expiry--embed-prod,opus-5,thinking,1,pass,914,2200,73,0.05957
v3-loyalty-points-fifo-expiry--short,opus-5,thinking,1,pass,393,3260,836,0.083465
v3-room-booking-conflict--embed-neutral,opus-5,thinking,1,pass,782,2343,148,0.062485
v3-room-booking-conflict--embed-prod,opus-5,thinking,1,pass,815,2462,89,0.065625
v3-room-booking-conflict--short,opus-5,thinking,1,pass,429,3405,674,0.08727
v3-token-bucket-burst--embed-neutral,opus-5,thinking,1,pass,879,3041,220,0.08042
v3-token-bucket-burst--embed-prod,opus-5,thinking,1,pass,938,2871,207,0.076465
v3-token-bucket-burst--short,opus-5,thinking,1,pass,502,4179,581,0.106985
